"state_name","state_name_short","pow_param"
"Alabama","AL",0.13
"Alaska","AK",1.069
"Arizona","AZ",0.502
"Arkansas","AR",0.68
"California","CA",0.393
"Colorado","CO",1.448
"Connecticut","CT",0.69
"Delaware","DE",1
"Florida","FL",0
"Georgia","GA",0.311
"Hawaii","HI",0.021
"Idaho","ID",0.786
"Illinois","IL",1.158
"Indiana","IN",1.523
"Iowa","IA",0.282
"Kansas","KS",0.878
"Kentucky","KY",1.804
"Louisiana","LA",1.075
"Maine","ME",0.566
"Maryland","MD",0.916
"Massachusetts","MA",0.964
"Michigan","MI",1.08
"Minnesota","MN",1.999
"Mississippi","MS",0.041
"Missouri","MO",0.139
"Montana","MT",0.061
"Nebraska","NE",0.072
"Nevada","NV",0.152
"New Hampshire","NH",0.697
"New Jersey","NJ",0.623
"New Mexico","NM",0.343
"New York","NY",0.677
"North Carolina","NC",1.237
"North Dakota","ND",0.35
"Ohio","OH",0.892
"Oklahoma","OK",1.878
"Oregon","OR",0.204
"Pennsylvania","PA",1.539
"Rhode Island","RI",0.653
"South Carolina","SC",0.311
"South Dakota","SD",0.342
"Tennessee","TN",0.195
"Texas","TX",0.675
"Utah","UT",0.043
"Vermont","VT",1.769
"Virginia","VA",0.863
"Washington","WA",0.804
"West Virginia","WV",0.355
"Wisconsin","WI",0.017
"Wyoming","WY",1.027
"District of Columbia","DC",0.665
